text,label
a sutileza desse cara tbm é de se admirar Até eu daria block,1
A LavaJato devia ganhar o Oscar na categoria de melhor Teoria da Conspiração. Quanto trabalho pra inventar tanta coisa...,1
 2:30 da manhã e britadeiras na Av Bernadino de campos não deixando ninguém dormir? Parabéns hein!,1
 55 min esperando antes de conseguir sair da Central. Parabéns pelo serviço bem prestado! ,1
 claro kkkk todo mundo tem dinheiro sobrando ,1
 Diogo Barbosa arremessou um copo de água mineral isso foi uma tentativa de assassinato ,1
 Dr. Azzoni explica as alterações no novo regramento dos cartões de crédito … economia dinheiro cartão,0
 INDICADORES: Veja o resumo das agendas econômicas para esta quarta-feira - China Economia Eua Japão PIB,0
 Inflação deve cair com redução de preços de combustíveis,0
 isso foi uma pergunta retórica! Kkkkkkkkk ,1
 minha família tem tanta consideração por mim que até me surpreendo ,1
 oficializa proposta de € 1 bi para compra da britânica The Body Shop → Bussiness Economia Natura JornaldosCanyons JdC,0
 PQ TIPO O CAPS ON JÁ MOSTRA QUE ESTOU CALMA ,1
 Que nada. Isso é teoria da conspiração!! ,1
 Que rápido!!... ironía,1
 sim! Tu pode ficar em crise por dias e a médica mandar tu tomar 4 medicamentos de uma só vez. Legal né? ,1
 sou ateu graças a deus °-°,1
 Tão bom quando a gente erra uma letra na hora de digitar,1
 vossa excelência é daltônico? Pq São Paulo fica realmente linda nesses 50 tons de cinza!  CadeAsCores?,1
??? História hj n é obrigatório no ensino médio! Então nem é tão importante assim saber quem é Don Pedro! ,1
¿Os acordaís de esto? Análisis técnico de SP 500 Dos  elnuevoparquet,0
¿Os acordaís de esto? Vídeo análisis técnico del Ibe  elnuevoparquet,0
.  diz no Twitter: candidatura do Brasil à OCDE é bem recebida   economia,0
. libera hoje consulta ao primeiro lote de restituição do Imposto de Renda 2017  Economia ,0
"..alcançando um patamar de 825 milhões de dólares”. ComércioExterior Economia Pernambuco""",0
..e,0
"..para que o produto brasileiro fique mais competitivo no mercado internacional”. ComércioExterior Economia""",0
"..que inicialmente previa exportar durante todo o ano”. ComércioExterior Economia""",0
‘É fundamental para os Açores a continuidade do PRORURAL+’  economia joãoponte,0
‘Não é necessária paragem temporária de pesca por motivos biológicos’ nos Açores  economia,0
“..enquanto os semimanufaturados aumentaram 15% e os manufaturados,0
“..tem importantes efeitos multiplicadores sobre a renda e emprego na economia”. ComércioExterior Economia,0
“A situação está sob controle. Só não sabemos de quem.”,1
“Desde 2015 as empresas buscam o mercado externo como uma saída para a recessão”. ComércioExterior Economia,0
“Mais recentemente,0
“Mundo Marca Açores”em exibição nos Estados Unidos da América  economia mundomarcaaçores,0
“No âmbito dos manufaturados destaca-se o desempenho do setor automotivo”. ComércioExterior Economia,0
“Perder clientes é fácil,0
“Somente este ano,0
+ de 49% d economia ThermaProHardcore Integralmédica Compare preços d suplementos e economize d verdade!,0
"> : Inflação anual cai além do esperado"" |  Economia """,0
11 mil? Só isso? Então corre porque tá barato pra caramba!  ,1
3 dicas para impulsionar seu negóciosem alto investimento  economia,0
390 horas de trabalho de parto. Que lindo! ,1
5:50 da manhã sinto uma enorme felicidade em acordar nesse horário... sério mesmo! ,1
58% dos consumidores planejam reduzir os gastos em junho. Veja os motivos: CNDL SPC Consumo Economia ,0
A arte de não confiar faz taooo bem! ,1
A burocracia chega ao limite quando para solicitar um serviço da Informática,1
A cara da felicidade por ficar sábado e domingo trabalhando num roteiro.  ,1
A chuva sempre chega nos melhores momentos né ,1
A Cracolândia sob a ótica do Direito Comercial e da Economia – existe solução? saudepublica drogas seguranca,0
A internet hoje ta de parabéns! Irônia,1
A lua de mel tem que ser em Buenos Aires mesmo,0
A mais nova batalha judicial da Boeing  economia,0
A melhor  parte de  ser  irônica  é  quando a pessoa  não  consegue  perceber. .. e vc atesta  a incapacidade do indivíduo ,1
A parte que eu mais gosto do processo digital é ter que ir até o fórum p pedir q o processo vá à conclusão... ,1
A pessoa tem uma memória tão boa tão boa que esquece até o email que usou para a conta do twitter. ,1
A preocupação de certas pessoas é tanta q até dói.. ,1
A reforma do ensino médio ficou ótima! Parabéns para os pedreiros envolvidos,1
A reforma trabalhista já é um grande avanço para alavancar a economia do pais e gerar empregos,0
A sério?! As pessoas tendem a organizar-se espacialmente em grupos étnicos-nações-culturais próximas?!  ,1
A única guerra que eu topo participar é a guerra civil e já vou logo avisando: estou do lado do Capitão América!  ,1
aaah realmente quem não quer ao lado um homem agressivo,1
acho massa a pessoa aconselhando sobre o que nem ela faz kkkkkkkkkkkkkkkkkkkk ,1
Acho que cheguei a dormir naquelas cadeiras super confortáveis do hospital,1
acho que fazem muito bem em combater violência com violência,1
Ações da JBS lideram quedas na bolsa após nova operação da PF  notícias Economia ,0
Acordar com enxaqueca: alegria sem fim.,1
Acordar com o funk do vizinho: não há jeito melhor para saudar esse dia lindo . Queria star morta,1
acordar com um pesadelo é a melhor maneira de acordar ,1
Acordo de leniência da JBS gera polêmica entre funcionários do BNDES  economia,0
Açores apresentam modelo de gestão da administração pública regional em Lisboa  economia,0
Açores presentes na Feira Nacional de Agricultura  economia 54ªfeiranacionaldeagricultura,0
"Adora quando demora pra responder""""",1
Adorei a motivação da Mulher Maravilha no fim do filme,1
"Adorei a propaganda em que os brancos curtem a happy hour e o negro é garçom e os trata como reis"". """,1
Adorei esse escândalo político brasileiro! A mídia quase esqueceu que aqui se mata gente a rodo! Parece até que Belém é segura!  pas,1
Adorei minhas 4hrs de sono,1
Adoro a parte em que quase ninguém responde ao meu convite de aniversário,1
Adoro a puta da vida ,1
Adoro acordar às 2:30 e não conseguir Voltar a dormir ,1
Adoro as pessoas que adoram falar da minha vida  ,1
Adoro começar a segunda doente. ,1
Adoro como o atendimento por telefone da XXXXX é eficiente. Será que vou esperar 56min q nem na última vez? ¬¬,1
Adoro esperar horas pra ser atendida pelo médico,1
adoro essa gente que não faz as coisas e não deixa os outros fazerem <3 ,1
Adoro essas pessoas que dizem que mudaram porque hoje são pessoas completamente diferentes... Dá 5 minutos e volta a ser quem era. ,1
Adoro esses programas de causos que passam a tarde inteira enrolando pra ter um desfecho já à noite no finalzinho. ,1
adoro estar constipado ,1
Adoro ficar/me sentir sozinha. ,1
Adoro gente q diz q ta chegando e passa 1h e 30min para aparecer!  souimpaciente,1
Adoro ir assistir filme de terror no cinema e ser o unico a gritar nos momentos tensos ,1
Adoro nossa tradição de iniciar tudo uma hora depois do combinado. Marquemos às 18:30 e iniciemos às 19:30. ,1
Adoro pessoas q só conversam comigo por imagens,1
Adoro quando as pessoas são muito explícitas nas mensagens ,1
Adoro quando as pessoas se preocupam mais com a infelicidade dos outros do que com a sua própria felicidade ,1
Adoro quando demoram imenso tempo a responder ,1
Adoro quando ela me ignora. ,1
Adoro quando meu intestino começa a doer quando to no bus ;)  efeitodasfibras,1
Adoro quando NAO me respondem ou dão satisfação  ,1
Adoro que me ignorem ...  ,1
Adoro sair de casa pra nada. ,1
Adoro ser ignorada,1
Adoro ser ignorada não aja dúvida  ,1
Adoro ta assistindo uma coisa e chegar mainha dizendo o que vai acontecer porque ela já assistiu ,1
Adoro vir trabalhar pra fazer nada o dia todo. ,1
"Adoro"" os bom dias de todos nos vários grupos do Whatsapp....  Onde esse pessoal arruma tanta imagem G-zuis??""",1
Aff passei em tudo é sempre tem q ter uma matéria infeliz Economia,0
Agências da Caixa abrem hoje para saque da conta inativa do FGTS  economia,0
Agências da Caixa abrem neste sábado para saque da conta inativa do FGTS  notícias Economia ,0
Agora,0
Agora a internet da XXXXX melhorou. Dos 35mb contratados está entregando 0.72 Mbps. \0/ ,1
Agora o placar é o que menos importa,0
AGORA VAI: Barragem que garantirá água para Itabuna tem 84% obras  Economia ,0
Agora vai... realmente excelente contratação. ,1
AGU quer acesso a termos de acordo de leniência da J&F  notícias Economia ,0
Ah a sociedade! Sempre mostrando como pode ser melhor... sqn ,1
Ah que saudade dessas aventuras que deram em tragédia. ,1
Ah se nego soubesse o quanto eu adoro quando ficam pedindo satisfação da minha vida. AMO ,1
Ai como é bom ficar de madrugada corrigindo provas. ,1
Aiii adorei comer com abelhas,1
Aiiiii aiiiiii como essa vida é linda não é mesmo? ,1
Ainda bem q teve impeachment né? Brasil tá beeeem melhor agora. Parabéns aos envolvidos batedores de panela. ES e RJ agradecem. ,1
Ainda bem que eu não quero me aposentar integralmente ,1
Ainda bem que os gaúchos não são brasileiros  ,1
Amanha reunião de estágio..que bom....,1
Amo acordar cedo... ,1
Amo demais quando a pessoa me ignora... amo!  ,1
Amo escutar desaforo de coisa que eu não tenho nada a ver.  ,1
Amo esperar ônibus. Ainda mais quando estou com fome e debaixo de um sol quente.  ,1
Amo estar ocupado.... ,1
amo ficar sem dinheiro amo essa vida de pobre amo muito nossa ,1
Amo quando faltam 10min para acabar a aula e o professor começa a encher o quadro de anotações ,1
Amo quando tou a ver uma serie/filme e a minha mãe começa a aspirar o chão ,1
Amo quando vou espirrar e mordo a língua. ,1
Amo quem me deixa falando sozinho ,1
amo site com nome metido a engraçado querendo vomitar regra do que é bonito ou feio na moda ,1
Amo vc dor de cabeça,1
Amoo chegar cedo nos lugares e ficar sozinha! ,1
Animação em pessoa por voltar a trabalhar hoje,1
Apartamentos de três quartos para a família em Vila Velha  notícias Economia ,0
Apesar de Temer & Meirelles garantirem que a inflação acabou meirelles ForaTemer Temer julgamentonoTSE UOL Folha G1 Economia ,0
Apoio WesleySafadao pra ser o próximo presidente do Brasil pq ele é só 1% vagabundo...,1
Após saída do acordo de Paris,0
Apresentação do projeto de ampliação da .TVSH economia Lionesa LeçadoBalio,0
Aquela vontade gigante de estudar Físico Química ,1
Aquele momento em que você não percebeu que se cortou e vai expremer um limão! NOSSA SENHORA,1
Aqueles dias pré-aniversário que você fica morto.......... Estou totalmente animado para a falsidade que virá. ,1
As festas de fim de ano são sempre taooo interessantes ..... ,1
"As incertezas no campo político agravam esse quadro de recuperação"". Economia""",0
As lâmpadas de Led são 80% mais econômicas,0
As pessoas são surpreendentes... parabéns ,1
As prioridades da câmara dos deputados em tempos de crise são realmente impressionantes ... ,1
Associação dos Industriais Metalúrgicos assinalou 60 anos  economia portugal,0
Até porque o feminismo mata milhares de homens todos os dias né... ,1
Bahia Farm Show bate recorde em captação e financiamento .Veja mais detalhes no site.   Economia Notícias,0
Banco Central Europeu prevê crescimento de 1,0
Banco do Brasil permite transferir dinheiro pelo WhatsApp -  / economia dinheiro whatsapp banco bb finanças,0
Banco do futuro não abre mão de atendimento humano  notícias Economia ,0
Banco irá permitir transferência bancária pelo WhatsApp  notícias Economia ,0
BandCidade: Saiba o que fazer para evitar dívidas enquanto se está desempregadodesemprego crise economia... ,0
BC não sinalizou quebra no ciclo de corte de juros,0
BCE mantém taxas de juros inalteradas  Economia BCE Juros,0
BCV convoca tercera subasta Dicom Economia Venezuela ,0
Beijos pros brasileiros que mandam emails com tanto estrangeirismo que afinal não entendemos a msg. Conselho: escrevam tdo em inglês ,1
Belo dia para acordar mais cedo que a galinha ,1
Bem que poderia melhorar o atendimento via Mercado Livre. Deve ser difícil faturar um simples mouse! ,1
Bloqueos aíslan sur de Bolivia Ultimo Economía ,0
BNDES termina processo de privatização da distribuidora de energia Celg  economia,0
Boa leitura na madrugada no Blog do professor Chico Rosário. Negócios Economia MindSet,0
Bob's substitui atendentes por terminais em lojas 100% digitais  notícias Economia ,0
Bob’s substitui atendentes por terminais em lojas 100% digitais  Economia,0
Boletim Macro do IBRE antecipa resultado do PIB:   Economia ,0
Bolsa tem leve alta e dólar recua de olho em julgamento no TSE  economia,0
Bom dia para vc que passa o ano todo fazendo merda e perturbando os outros,1
Bom Dia pra você que não cortou o pé e n consegue nem andar... HAHA ,1
Bom dia! Nada como começar a quarta feira com reunião ,1
Bom mesmo é comprar bem e barato aqui no Carnaúba. Vem aproveitar nossas ofertas!oferta promocao economia... ,0
Boom de hipotecas  Economía ,0
Bóra estudar! comissaodefinanças economia orçamento HudsonPessini VontadeDeFazer … ,0
Bradesco e Itaú reduzem projeções para o PIB  economia,0
Branco correndo é ATLETA! Preto é LADRÃO IRÔNIA — se sentindo sarcástico,1
Brasil deve ter neste ano safra 29,0
Brasil em liquidação  brasil em  aquisições ibovespa o povo economia neila fontenele via ,0
Brasil tem 60,0
Brasília precisa parar de atrapalhar o Brasil  economia micheltemer politica,0
Caixa abre agências hoje para pagar FGTS; veja endereços  notícias Economia ,0
Caixa começa a pagar amanhã novo lote de contas inativas do FGTS  notícias Economia ,0
Candidato bom esse hein?  ,1
Caneta e papel  para anotar o segredo  Austrália economia crescimento,0
Caraca veii!!!! Espantoso o quanto de criatividade que uma pessoa precisa para ter um Canal de React. ,1
Carioca tudo esquerdista comunista ,1
Carrefour escolhe ex-CEO da Fnac para presidir o grupo  notícias Economia ,0
Carrefour tem novo presidente global  notícias Economia ,0
Causei tanta impressão na escola que nem os professores me reconhecem ,1
CCEE: liquidação financeira do mercado de curto prazo movimenta R$ 1,0
CÊ JURA,1
Certas pessoas são tão maduras que até me assusta ,1
Chegay do churrasco e noossa foi incrível   Não tinha WiFi -_-,1
Chuvas no Sul melhoram condiçõesde energia do país,0
claro pq eu adoro começar a assistir uma série sabendo oq vai acontecer  humor,1
"Claro, assim como um narrador precisa ser ex jogador pra entender de futebol rsrs ",1
Claro... mulher tem q ser reconhecida é pela beleza e não pela inteligência. ,1
CMF investe 300 mil euros em caminho agrícola em São Martinho  destaque economia madeira,0
Coitadinhos... nenhum Mestre ou Prof. Dr.? O que esperam aprender?  ,1
Com 12 milhões de desempregados e que ganham 880 reais? O salário de 30k de um juiz realmente merece aumento.  ,1
Com ou sem Temer: para mercado,0
Com saques do FGTS,0
Comendo glacê puro de bolo a minha glicose ta igual a minha paciência,1
Comissão de Economia aprova os 4 projetos do PlanodeRecuperação que tramitam em regime de urgência  ,0
Como é bom começar o dia com notícias assim...  ,1
Como é bom ficar num lugar q tu n conhece ninguém e ainda n fala nada ,1
Como é bom ter uma vizinha rabugenta..  ,1
como eu adoro chuva!! ,1
Como eu adoro quando nao sei o que sinto,1
Como eu amo estar doente...naotábom ,1
Como eu amo pessoa curiosa e mais ainda fofoqueira  ,1
Como eu amo pessoas q usam a Quebrando Tabu pra justificar argumento!  ,1
Como levar este país a sério se até o presidente da Associação dos Procuradores se chama Robalinho? =P ,1
Como nao ser feliz sabendo que amanhã tenho aula???? -.-  SoPorDeus,1
Como se sentir mais seguro em época de desemprego? segurança desemprego economia,0
Competitividade do óleo de dendê bahiano motivam audiência na SDE Economia ,0
Confiança do empresário do comércio paulistano cresce pelo terceiro mês consecutivo. Pesquisa completa em  economia,0
Confiança do empresário do comércio paulistano cresce pelo terceiro mês seguido  economia,0
Confira as vagas de emprego disponíveis para esta quinta-feira (8),0
Confira na Sinopse de Hoje ≡ Anvisa Saúde Economia Privatização Eleições2018 → Leia no JornaldosCanyons - ,0
Congresso Nacional cria Frente Parlamentar de Economia Digital  brasilpaisdigital,0
Conheça e Exija Seus Direitos → CDC Economia Comércio ReceitaFederal Direito JdC JornaldosCanyons,0
Conselho decide inclui novas áreas em leilões de petróleo  economia,0
Consulta ao primeiro lote de restituição é aberta nesta quinta  brasil economia 1ºloteirpf,0
Continuemos a destruir a indústria e o comércio... economia geringonça  via ,0
Contra a corrente,0
Corinthians lança operadora própria de telefonia celular  notícias Economia ,0
Crise política afeta rentabilidade dos fundos de ações em maio  economia,0
Cristalina terá primeira usina fotovoltaica flutuante em propriedade rural no Brasil |  energiasolar economia agro,0
CTT ganham “Óscar” da Indústria Postal  economia portugal franciscodelacerda triangle,0
Curtir as férias com o pé engessado ,1
"Daniel Bessa: Não há razão nenhuma para não ser corrupto em Portugal"": O ex-ministro da Economia culpa os… """,0
De 5 apostilas eu consegui ler 1.. Oh tô progredindo! ,1
Deixa eu ir lá estudar a maravilhosa Constituição brasileira...,1
Delicia Delicia trabalhar fortemente na divulgação do show do  XXXXX e não receber nem um obrigado de retorno affff ,1
Demora mais que tô gostando,1
Desejando o mal pro próximo? Que lindo esse amor que seu deus te ensinou  ,1
Desigualdade social? Hem? Isso não existe,1
Devagar,0
dia de remover sisos. coisa boa!  ,1
Dia dos Namorados mais caro:   Inflação DiadosNamorados Economia  ibre,0
Dia dos Namorados mais caro:  Inflação DiadosNamorados Economia ,0
Dia lindo para se estar dentro de casa de pós-operatório! ,1
Diário do Gastão já saiu!  carros economia,0
Diário do Gastão já saiu!  economia,0
Diário Verluci Almeida já saiu!  Graças a   g1 economia,0
Dicas simples de como economizar no dia a dia da viagem na Alemanha (algumas polêmicas) economia viajar viagem,0
Diretores da Petrobras deixam conselho deliberativo do Petros  economia,0
Dispara venda de sppiners,0
Dívidas da Sercomtel acendem luz vermelha na Anatel:  / telefonia economia dinheiro telecom anatel sercomtel,0
Do que adianta ter um corpo bom se a cabeça é de camarão! irônia e analogia. ,1
Dois pais? Duas mães??Pode isso Braseeeel!??Meo Deuso onde vamos parar..!!? ,1
Dólar cai pela terceira vez seguida e vai a R$ 3,0
Dólar sobe e termina a semana encostado no patamar de R$ 3,0
Dólar termina a semana em alta,0
domingo eu na tmp fazendo almoço e em maratona de matemática olha n pode melhorar ,1
Dona do restaurante Griletto compra rede de lanchonete Croassonho  notícias Economia ,0
Dormir mal e acordar pior ainda.... Adoro ficar doente! ,1
Dr. Azzoni explica as alterações no novo regramento dos cartões de crédito economia dinheiro cartão,0
E a felicidade de gastar 0 REAL no dia de hoje? economia foco,0
É cada uma que parece duas nessa minha vida viu...tô com tanta paciência hoje que estou até doando ,1
E essa revolta das máquinas ein? O caminhão sozinho vai lá e mata o povo. Que coisa ein....  ,1
E eu gosto tanto de perder tempo arrumando/limpando casa ,1
É melhor. Sem metrô o aeroporto já tá cheio de pobre.   ,1
É muito bom estar com gente que não quer saber de mim ,1
É porque esses empresários de ônibus estão muito pobres...,1
É porque o Brasil saiu da crise... Famílias cada vez mais endividadas porque compraram carros e viajaram nos últimos meses.  ,1
É possível pular apreciação da reforma trabalhista na CCJ,0
"É pra fechar a noite com chave de ouro, um mal jeito nas costa cai muito bem  — se sentindo ironica",1
É sempre bom sair de casa 20 minutos mais tarde para chegar uma hora atrasado... transportespublicos ,1
É tanto o esforço que até chega aqui o suor ,1
é tao bom me sentir sozinha ,1
É tão gostoso vc ser julgado pelo q tem e por aquilo que deixou de fazer,1
É tão legal ficar sabendo as coisas pelo outro rs ,1
Ebaaaaaaaaaaaaaaaaaaaaaaaaaaa...tudo está contribuindo para mim não gravar hoje! Talvez nós nem tenhamos vídeo semana que vem!,1
Ebit projeta alta de 6% nas vendas online no Dia dos Namorados  economia,0
economia   Santa Isabel,0
Economia - Boa notícia. [fonte: Estadão] ,0
Economia - Pelo menos o combate a inflação vai bem! [fonte: Estadão] ,0
Economia - SELIC. [fonte: Estadão] ,0
Economia & Negócios já saiu!  economia notícias,0
Economia 8Jun BCV convoca tercera subasta Dicom Noticierovenevision ,0
Economía 8Jun BCV convoca tercera subasta Dicom NoticieroVenevision ,0
Economía 9Jun BCV convoca tercera subasta Dicom NoticieroVenevision ,0
Economia A vigência dos preços será aplicada a partir do dia 5 de cada mês,0
Economia Aposentados da Caixa Geral de Aposentações caem em 2016 pela primeira vez em…  Em ,0
economia As vendas para o Dia dos Namorados devem injetar R$ 11,0
Economia Banco Popular mantém a normal prestação de serviços aos clientes  Em ,0
Economía Banco Santander compra a 1€ el quebrado Popular -->,0
Economía BCV convoca tercera subasta Dicom ,0
"Economia BE acredita em voto unânime contra rendas excessivas""  Em """,0
Economia Carros de Luxo vendem bem com ou sem crise  Em ,0
Economia Centeno assegura que compromisso com Domingues foi sobre exclusão do estatuto  Em ,0
Economia CGD vai acabar com pagamentos por caderneta  Em ,0
Economia Colgate-Palmolive se paralizará por falta de materia prima      ,0
ECONOMIA CRISE RECESSÃO FORATEMER:Vox Populi: Reformas de Temer são reprovadas por 80% da população,0
ECONOMIA CRISE RECESSÃO: Crise política derruba ainda mais Bovespa,0
"Economia Dombrovskis: Resolução do Banco Popular é exemplo bem sucedido""  Em """,0
Economia e Capitalismo: IGP-DI: Deflação de 0,0
Economia Excedente da Segurança Social subiu para 1532 milhões de euros em 2016  Em ,0
Economia Exportações travam em abril e o défice comercial aumenta mais de 500 milhões  Em ,0
Economia Fique atento! ,0
Economia Governo espera receita de R$ 43 bilhões com fim da Infraero »  | Via .twitter.com/ttyF9a9ISh,0
Economia insustentável fez crise ambiental piorar,0
Economia Já há dois milhões de carros elétricos em todo o mundo  Em ,0
Economia Jornal de Negócios - 2017-06-08 .twitter.com/h67eq6Zh0T,0
Economia Jornal de Negócios - 2017-06-08 .twitter.com/JxcqD36WV7,0
Economia Jornal de Negócios - 2017-06-09 .twitter.com/I9vqwgvYhx,0
economia KKKKKKKKKKKKK to rindo mas de nervoso rs,0
Economia Maioria dos trabalhadores usou dinheiro para pagar dívidas »  | Via MA10,0
Economia MaisumReajuste Preço do gás de cozinha pode chegar a R$1,0
Economia Meirelles comemora IPCA baixo e destaca retomada do poder de compra ,0
Economia Meirelles comemora IPCA baixo e destaca retomada do poder de compra  ,0
"Economia Os impostos sobre os carros em Portugal são um exagero""  Em """,0
Economia Receita abre consulta a primeiro lote de restituição do IR deste ano »  | Via .twitter.com/hPHjjR8scb,0
Economia Receita abre consulta a primeiro lote de restituição do IR deste ano »  | Via .twitter.com/WurlX4flUv,0
Economia Santander ou BCP,0
Economia Sem Paletó 6: Pobres pagam mais impostos do que os ricos no Brasil,0
"Economia SIVA acusa: DECO não me merece crédito""  Em """,0
Economia:  BC vê queda da inflação com redução de preço de combustível ,0
Economia: Agências da Caixa abrem hoje para saque do FGTS ,0
Economia: Brasil deve ter safra 29,0
Economia: Cesta básica fica mais barata em 16 capitais em maio ,0
Economia: Com ou sem Temer: para mercado,0
Economia: Comércio estima crescimento de 2,0
Economia: Comissão do Senado aprova relatório da reforma trabalhista ,0
Economia: Cotação do real em relação ao euro e ao dólar ,0
Economia: Governo anuncia R$ 190,0
Economia: IGP-DI tem deflação em maio e acumula queda de 1,0
Economia: Inadimplência no Brasil cresce 1,0
Economia: Indústria cresce em abril em 5 dos 14 Estados pesquisados ,0
Economia: Inflação do aluguel,0
Economia: Inflação sobe 0,0
Economia: IPC-S cai nas sete capitais na primeira semana de junho ,0
Economia: Maioria dos trabalhadores usou FGTS para pagar dívidas ,0
Economia: Mais de 35 mil no TO poderão sacar seu FGTS a partir de hoje ,0
Economia: Moody's vê mais risco de processos e rebaixa nota da JBS ,0
Economia: O que ameaça a saída da recessão no Brasil,0
Economia: OCDE pretende abrir escritório no Brasil,0
Economia: Opinião: Déficit dos EUA é de fabricação caseira ,0
Economia: Opinião: Na economia,0
Economia: Poupança registra mais depósitos que saques em maio ,0
Economia: Produção de motocicletas cai 2,0
Economia: Qual é o segredo da Austrália para crescer por mais de 25 anos sem recessão ,0
Economia: Receita abre consulta ao 1º lote de restituição do IR 2017 ,0
ECONOMIA: Receita Federal abre consulta ao primeiro lote de restituição do Imposto de Renda nesta quinta-feira,0
Economia: Safra de grãos pode ser recorde com 234,0
Economia: Serviços elevam inflação e impactam o Dia dos Namorados ,0
Economia: Setor de brinquedos espera crescimento de 10% em 2017 ,0
Economia: SPC: 58% dos consumidores planejam reduzir gastos em junho ,0
Economia.Acordo adia leitura da reforma trabalhista em comissão ,0
Economia.Após última redução na refinaria,0
Economia.Crise e desemprego fazem Brasil ter ‘exército’ de 60 milhões de pessoas com o nome sujo ,0
Economia.Especial publicitário: Investimento deve ser o centro da política do governo ,0
Economia.Ibovespa sobe com aposta em absolvição de Temer no TSE ,0
Economia.Inflação acelera em maio,0
Economia.Meirelles: votação da reforma trabalhista deve acontecer em junho ,0
Economia.Mercado teme desembarque de tucanos do governo ,0
Economia.Natura negocia com L’Oreal compra da Body Shop por 1 bilhão de euros ,0
Economia.PF faz operação na JBS para investigar uso de informação privilegiada na compra de dólar ,0
Economia.Preço de medicamentos sobe acima da inflação: confira como economizar ,0
Economia.Presidente do Senado admite possibilidade de acelerar reforma trabalhista ,0
Economia.Sai o primeiro lote de restituição do IR: especialistas orientam como investir ,0
Economizando em Vancouver: Saiba onde fazer suas compras de mês   economia canada vancouver compras intercambio,0
Educação no Brasil caminha a passos largos para a perfeição  ,1
El varapalo del Constitucional al Gobierno desautoriza futuras amnistías fiscales españa economía | E M G ,0
Elas gostam de aventuras. Mas negam muitos aventureiros. ,1
Eliseu Padilha e Moreira Franco aceitaram ser as madrinhas das segundas núpcias de Henrique Meirelles com o PMDB.Economia Política,0
Em 2020? Nossa! Que máximo! Isso é realmente animador.,1
Em fórum da OCDE,0
Em processo de recuperação judicial,0
Emirates SkyCargo transporta perto de 100 cavalos por três continentes  economia portugal,0
Emissários de Tanure vão a NY em nova ofensiva pela Oi  notícias Economia ,0
Empresários querem abertura de novas rotas para Porto de Imbituba  porto economia,0
Engraçado como as pessoas estão compreensivas hoje... ,1
Então eu tb já posso ser ministro. Tb tenho experiência suficiente pra ser Machado de Assis,1
Enxaqueca pro dia fica melhor! ,1
ES registra R$ 5 bilhões por ano em fraudes fiscais,0
Espera de 40 minutos no Terminal Pinheiros e a minha fisionomia só podia ser de alegria … ,1
